"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"de la Sorbonne / du Rousillon","Laval",6,1,4,0,0,0,20.5,0
"Union / Ste-Catherine","Ville-Marie",9,6,119,2,38,40,16.4,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",5,3,159,35,43,78,14.5,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",6,3,84,18,24,42,16.7,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",7,3,69,17,21,38,24.8,0
"Aylmer / Ste-Catherine","Ville-Marie",8,4,80,3,46,49,16.8,0
"St-Jacques / St-Laurent","Ville-Marie",9,5,68,5,13,18,20.3,0
"Graham / Brookfield","Mont-Royal",7,1,28,7,5,12,20.4,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",7,3,8,2,2,4,22.8,1
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",5,1,9,1,2,3,22.1,0
"Irwin / Allard","LaSalle",6,1,17,0,8,8,20.5,0
"Hodge / Laperrière","Saint-Laurent",7,6,6,0,2,2,22.2,0
"Mackay / René-Lévesque","Ville-Marie",5,5,94,10,25,35,20.3,0
"Hodge / Laperrière","Saint-Laurent",7,5,8,0,2,2,23.2,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",6,7,50,8,10,18,20.5,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",6,1,289,31,79,110,23.4,0
"Tupper / du Fort","Ville-Marie",7,5,83,13,17,30,21,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",10,3,42,14,6,20,15.7,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",6,4,50,14,11,25,27.2,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",6,5,24,2,3,5,15.7,0
"St-Jacques / St-Laurent","Ville-Marie",7,2,48,2,22,24,22.6,0
"Brébeuf / Curé-Poirier","Longueuil",9,2,5,4,0,4,13.7,0
"Gilford / Papineau","Le Plateau-Mont-Royal",8,1,74,24,10,34,17.4,1
"Saint-Rémi / Valois","Laval",6,2,3,0,1,1,15,0
"Terminus Newman (Airlie / Lafleur)","LaSalle",8,2,8,0,4,4,18.6,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",9,7,179,12,47,59,10.5,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",5,2,86,20,27,47,14.5,0
"Querbes / Laurier","Outremont",10,6,90,9,17,26,13.9,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",10,3,133,30,33,63,9.7,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",8,6,9,0,1,1,21.4,0
"de Grenoble / de Cassis","Laval",7,1,3,0,0,0,25.3,0
"Michelet / Jean-Talon","Saint-Léonard",5,4,21,5,7,12,18.9,0
"Mayfield / St-Martin O","Laval",6,4,4,0,2,2,15,0
"Atwater / Sherbrooke","Ville-Marie",8,4,61,11,12,23,23.6,0
"Parc Bariteau (Saint-Georges)","Longueuil",9,5,6,1,1,2,20.3,0
"Alexandre-DeSève / Ontario","Ville-Marie",9,3,192,43,50,93,19.8,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",9,5,205,25,63,88,20.1,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",7,5,73,15,17,32,23.2,0
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",9,7,13,0,3,3,16.9,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",6,3,89,7,43,50,22.3,1
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",7,7,79,8,15,23,23.8,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",5,3,52,18,8,26,14.5,0
"de Grenoble / de Cassis","Laval",10,6,4,1,0,1,13.9,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",9,3,211,32,66,98,14.5,1
"Hutchison / Van Horne","Le Plateau-Mont-Royal",7,4,79,14,23,37,20.1,0
"Atwater / Sherbrooke","Ville-Marie",9,7,43,4,12,16,16.9,0
"St-Patrick / Briand","Le Sud-Ouest",6,5,66,5,17,22,15.7,0
"Gilford / Papineau","Le Plateau-Mont-Royal",9,7,132,26,20,46,18.1,0
"Mayfield / St-Martin O","Laval",9,4,7,0,2,2,18.4,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",5,2,5,0,2,2,17.7,0
"de la Sorbonne / du Rousillon","Laval",9,3,8,2,1,3,18.1,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",10,4,94,23,26,49,14.8,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",5,6,70,2,21,23,14.5,0
"Jean-Paul-Vincent / Adoncour","Longueuil",7,3,4,3,0,3,23.3,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",10,2,119,15,45,60,17,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",5,6,79,2,15,17,14.3,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",6,5,65,10,17,27,18.4,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",8,3,64,5,25,30,18.1,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",10,4,58,7,18,25,6.7,0
"Irwin / Allard","LaSalle",8,2,23,8,8,16,15.5,0
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",5,3,49,16,4,20,11.7,0
"Alexandre-DeSève / Ontario","Ville-Marie",6,2,177,31,44,75,22.4,0
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",6,7,31,3,8,11,15.8,0
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",10,3,4,1,0,1,16.9,0
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",6,6,111,8,18,26,18.5,0
"Gilford / Papineau","Le Plateau-Mont-Royal",8,5,112,19,39,58,24.5,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",9,6,40,10,3,13,15.9,1
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",10,7,52,4,12,16,13.1,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",9,5,213,41,55,96,20.3,0
"Jean-Paul-Vincent / Adoncour","Longueuil",5,3,8,1,4,5,23.8,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",10,4,48,12,12,24,6.7,0
"Dollard / Bernard","Outremont",9,7,37,0,4,4,16.9,0
"Querbes / Laurier","Outremont",10,2,73,15,28,43,16.4,0
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",7,3,83,9,27,36,25.3,0
"Mackay / Ste-Catherine","Ville-Marie",6,5,151,16,34,50,18.4,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,2,22,2,5,7,23.9,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",7,4,49,13,12,25,20.1,0
"Tupper / du Fort","Ville-Marie",5,2,68,9,20,29,17.7,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",8,4,46,8,14,22,16.9,0
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",7,5,40,10,13,23,21,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",7,6,44,5,12,17,22.2,0
"Jean-Talon / de l'Épée","Villeray—Saint-Michel—Parc-Extension",9,2,43,9,10,19,17.9,0
"Boyer / Jean-Talon","Rosemont - La Petite-Patrie",6,3,76,12,19,31,28.7,0
"Mackay / René-Lévesque","Ville-Marie",8,7,104,9,18,27,21.5,0
"Alexandre-DeSève / Ontario","Ville-Marie",6,6,124,7,20,27,18.5,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",9,1,186,9,61,70,13.7,0
"Querbes / Laurier","Outremont",6,7,70,4,11,15,22.2,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",9,3,84,6,34,40,21.7,0
"St-Laurent / Joliette","Longueuil",7,3,10,2,2,4,22.8,1
"Atwater / Sherbrooke","Ville-Marie",10,4,59,9,19,28,21.4,0
"St-Dominique / Rachel","Le Plateau-Mont-Royal",6,1,184,36,50,86,23.4,0
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",8,3,52,11,16,27,24,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",6,1,91,19,20,39,23.4,0
"Parc de la Louisiane (31e avenue / de Bellechasse)","Rosemont - La Petite-Patrie",5,6,27,3,12,15,14.3,0
"Parc Bariteau (Saint-Georges)","Longueuil",9,2,9,0,5,5,23.1,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",10,1,139,26,46,72,17.3,0
"Atwater / Sherbrooke","Ville-Marie",9,1,53,9,18,27,15.7,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",5,7,15,3,1,4,12.1,1
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",7,5,20,2,2,4,23.2,0
"Hamel / Sauriol","Ahuntsic-Cartierville",10,7,18,1,4,5,14,0
"St-Jacques / St-Laurent","Ville-Marie",5,3,40,3,19,22,10.2,0
"Brébeuf / Curé-Poirier","Longueuil",8,5,10,2,5,7,19.2,0
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",8,7,33,1,11,12,20.4,0
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",6,1,48,9,8,17,15.2,0
"Parc Chenier (de l'Aréna / Chenier)","Anjou",6,2,11,4,1,5,22.4,0
"de Côme / Jean-Talon","Saint-Léonard",6,6,18,3,2,5,18.5,0
"Desaulniers / Marquette","Longueuil",8,2,9,2,1,3,22,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",9,2,5,3,0,3,17.9,0
"de Côme / Jean-Talon","Saint-Léonard",5,3,14,2,2,4,23.8,0
"de la Sorbonne / du Rousillon","Laval",9,4,5,2,1,3,20.1,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",10,1,150,24,44,68,1.2,0
"Irwin / Allard","LaSalle",8,5,32,3,7,10,24.5,0
"Desaulniers / Marquette","Longueuil",9,6,15,1,3,4,16.4,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",10,7,28,0,5,5,7.5,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",10,3,199,38,56,94,16.9,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",9,6,321,17,84,101,19.5,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",7,6,40,2,8,10,22.7,0
"Parc Chenier (de l'Aréna / Chenier)","Anjou",10,7,1,0,0,0,14,0
"Le Corbusier / St-Martin O","Laval",8,4,2,0,1,1,16.9,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",8,5,55,9,11,20,19.7,0
"St-Patrick / Briand","Le Sud-Ouest",7,1,57,12,22,34,24.3,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",8,2,112,24,33,57,22,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",8,7,30,3,5,8,24.7,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",6,4,177,26,47,73,15,0
"Fullum / de Rouen","Ville-Marie",10,5,77,19,10,29,5.7,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",8,6,16,0,2,2,24.3,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",7,6,203,13,38,51,22.2,0
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",8,4,45,9,9,18,23.6,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",7,6,82,6,11,17,22.2,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",8,1,10,2,0,2,18.4,0
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",8,5,15,0,3,3,20.1,1
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",5,3,16,4,7,11,16.7,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",9,3,32,9,7,16,18.1,0
"Hamel / Sauriol","Ahuntsic-Cartierville",7,1,21,5,5,10,20.4,0
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",10,7,30,2,6,8,13.1,0
"Fullum / de Rouen","Ville-Marie",6,1,87,23,23,46,15.2,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",6,1,103,13,32,45,15.2,0
"Bélanger / des Galeries d'Anjou","Anjou",10,5,22,1,10,11,10.3,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",8,2,58,22,13,35,23.9,0
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",8,2,7,0,5,5,23.9,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",5,6,78,12,19,31,14.5,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",10,5,73,2,29,31,17.1,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",7,7,49,1,12,13,19.5,0
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",7,4,30,8,5,13,20.1,0
"Irwin / Allard","LaSalle",7,5,36,4,5,9,21.7,0
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",7,2,52,12,19,31,22.6,0
"Melville / de Maisonneuve","Westmount",7,2,127,16,23,39,25.9,0
"Melville / de Maisonneuve","Westmount",5,4,132,14,47,61,14.5,0
"Métro Préfontaine (Préfontaine / Hochelaga)","Mercier - Hochelaga-Maisonneuve",6,4,75,15,23,38,21.5,1
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",7,5,134,10,44,54,23.2,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",8,6,25,4,5,9,22.4,0
"Laval / du Mont-Royal","Le Plateau-Mont-Royal",8,3,87,5,21,26,24,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",8,1,1,0,0,0,21.8,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",7,6,34,3,2,5,22.2,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",6,1,43,1,15,16,20.5,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",6,3,181,26,38,64,24.7,0
"Brittany / Ainsley","Mont-Royal",8,4,21,2,4,6,16.8,0
"St-Laurent / Joliette","Longueuil",7,5,14,2,5,7,21,0
"St-Patrick / Briand","Le Sud-Ouest",5,4,29,10,10,20,11.1,0
"Place du Village (St-Jean-Baptiste / Notre-Dame)","Rivière-des-Prairies - Pointe-aux-Trembles",10,1,1,0,0,0,1.2,0
"Aylmer / Ste-Catherine","Ville-Marie",5,1,42,1,10,11,22.1,0
"Mackay / Ste-Catherine","Ville-Marie",5,1,153,6,24,30,22.1,0
"Mackay / René-Lévesque","Ville-Marie",9,5,129,25,35,60,20.3,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",7,1,11,1,4,5,20.4,0
"Brittany / Ainsley","Mont-Royal",7,2,20,2,6,8,22.6,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",10,1,41,14,11,25,17.3,0
"Dollard / Bernard","Outremont",9,2,73,38,17,55,13.7,0
"Michelet / Jean-Talon","Saint-Léonard",5,5,17,2,4,6,20.3,0
"Hamel / Sauriol","Ahuntsic-Cartierville",8,2,34,6,11,17,22,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",5,4,61,6,22,28,14.5,0
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",9,6,19,4,1,5,15.9,1
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",6,2,9,1,2,3,15,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",10,1,32,8,11,19,12,0
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",5,5,50,10,9,19,17.4,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",10,3,3,1,1,2,6.7,0
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",5,1,6,0,2,2,16.4,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",7,5,7,0,1,1,21,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",8,4,51,19,10,29,16.9,0
"Parc Bariteau (Saint-Georges)","Longueuil",8,5,5,0,2,2,19.7,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",8,6,3,2,0,2,20,0
"Melville / de Maisonneuve","Westmount",7,7,111,7,26,33,23.5,0
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",8,7,79,4,16,20,24.7,0
"Boyer / Jean-Talon","Rosemont - La Petite-Patrie",5,5,117,15,31,46,20.3,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",6,5,89,18,27,45,15.7,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",10,7,89,7,15,22,7.5,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",10,6,64,8,12,20,9.9,0
"Mackay / René-Lévesque","Ville-Marie",6,6,108,10,22,32,14.8,0
"Tupper / du Fort","Ville-Marie",7,6,105,13,17,30,23.1,0
"Tupper / du Fort","Ville-Marie",7,4,62,10,23,33,20.1,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",9,5,70,25,13,38,16.6,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",6,1,11,0,3,3,15.2,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",10,1,7,1,1,2,17.3,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",10,1,9,3,4,7,1.2,0
"Carrefour Angrignon (Angrignon / Newman)","LaSalle",7,3,11,0,5,5,22.8,1
"Bélanger / des Galeries d'Anjou","Anjou",7,5,27,0,16,16,25.3,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",5,4,8,0,3,3,11,0
"de la Sorbonne / du Rousillon","Laval",10,6,2,1,0,1,12.5,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",7,7,60,2,15,17,23.5,0
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",9,5,42,12,10,22,16.6,0
"Crescent / de Maisonneuve","Ville-Marie",10,4,187,8,57,65,9.6,0
"Tupper / du Fort","Ville-Marie",9,7,70,6,19,25,16.9,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",6,3,202,31,48,79,28.7,0
"Crescent / de Maisonneuve","Ville-Marie",7,4,109,5,30,35,20.2,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",9,3,78,18,35,53,21.7,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",8,6,78,7,5,12,20,0
"St-Jacques / St-Laurent","Ville-Marie",6,6,62,5,17,22,19.8,0
"Tupper / du Fort","Ville-Marie",7,3,67,14,14,28,25.3,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",8,4,74,8,29,37,23.6,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",7,3,54,11,15,26,25.3,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",8,4,13,1,7,8,16.8,0
"Crescent / de Maisonneuve","Ville-Marie",6,6,96,0,17,17,19.5,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",5,6,35,2,7,9,14.5,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",7,5,184,10,68,78,21.7,0
"Gilford / Papineau","Le Plateau-Mont-Royal",7,4,97,22,26,48,20.1,0
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",9,1,107,5,31,36,13.7,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",6,5,53,10,8,18,18.9,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",6,4,19,3,8,11,21.5,1
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",5,1,37,3,12,15,21.8,1
"Union / Ste-Catherine","Ville-Marie",6,5,115,3,34,37,21.5,0
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",7,4,53,11,16,27,25.4,0
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",5,4,70,7,12,19,18.9,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",5,3,112,18,26,44,16.7,0
"Gilford / Papineau","Le Plateau-Mont-Royal",8,7,99,9,13,22,21.5,0
"Atwater / Sherbrooke","Ville-Marie",10,6,15,0,4,4,9.9,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",8,6,77,8,9,17,21.4,0
"Crescent / de Maisonneuve","Ville-Marie",5,6,98,2,17,19,14.3,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",9,5,110,13,27,40,20.1,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",6,7,39,5,7,12,16.3,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",6,1,148,26,34,60,23.7,0
"Aylmer / Ste-Catherine","Ville-Marie",5,5,85,2,35,37,12.4,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",6,6,166,19,38,57,21,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",6,6,114,7,13,20,18.5,0
"Terminus Newman (Airlie / Lafleur)","LaSalle",9,2,6,0,5,5,23.1,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",7,5,18,4,4,8,21,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",6,1,31,7,13,20,15.2,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",7,4,140,10,55,65,25.4,0
"Atwater / Sherbrooke","Ville-Marie",8,5,10,3,1,4,20.1,1
"Tupper / du Fort","Ville-Marie",5,6,97,13,23,36,20.5,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",9,4,210,33,70,103,20.1,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",5,6,7,1,3,4,14.3,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",8,5,2,1,1,2,20.1,1
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",9,4,63,11,19,30,20.7,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",10,4,195,27,66,93,6.7,0
"5e avenue / Rosemont","Rosemont - La Petite-Patrie",6,7,41,2,18,20,21.8,1
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",8,5,58,8,6,14,20.1,1
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",10,3,16,3,6,9,15.7,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",8,1,136,34,30,64,18.8,0
"Hamel / Sauriol","Ahuntsic-Cartierville",8,4,25,6,10,16,16.9,0
"Alexandre-DeSève / Ontario","Ville-Marie",6,6,80,13,6,19,19.5,0
"de Grenoble / de Cassis","Laval",5,7,2,0,0,0,18.3,0
"de Bellechasse / de Lanaudière","Rosemont - La Petite-Patrie",8,2,82,5,36,41,22,0
"Bélanger / des Galeries d'Anjou","Anjou",6,1,18,1,8,9,23.4,0
"Place du Village (St-Jean-Baptiste / Notre-Dame)","Rivière-des-Prairies - Pointe-aux-Trembles",6,2,15,2,0,2,26.7,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",10,4,22,5,11,16,6.7,0
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",8,2,10,1,4,5,22,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",10,6,54,6,20,26,9.9,0
"de Chenonceau / Chomedey","Laval",9,6,1,0,0,0,15.9,1
"Place du Village (St-Jean-Baptiste / Notre-Dame)","Rivière-des-Prairies - Pointe-aux-Trembles",8,3,4,1,1,2,18.1,0
"Mackay / Ste-Catherine","Ville-Marie",5,1,96,5,45,50,16.4,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",10,4,16,2,5,7,14.8,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,6,70,3,3,6,21.4,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",9,5,94,20,17,37,16.6,0
"Aylmer / Ste-Catherine","Ville-Marie",9,3,79,7,42,49,19.8,0
"de la Sorbonne / du Rousillon","Laval",9,7,3,0,1,1,21.7,0
"Chambord / Beaubien","Rosemont - La Petite-Patrie",6,6,131,11,26,37,21,0
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",5,5,27,3,9,12,14.2,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",8,6,95,12,25,37,22.4,0
"Gilford / Papineau","Le Plateau-Mont-Royal",10,4,87,20,20,40,7.5,0
"St-Laurent / Joliette","Longueuil",5,5,12,0,3,3,14.2,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",7,3,73,6,17,23,25.3,0
"Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)","Rosemont - La Petite-Patrie",7,5,55,3,34,37,23.2,0
"Earnscliffe / Queen-Mary","Côte-des-Neiges - Notre-Dame-de-Grâce",6,5,58,5,17,22,15.7,0
"Boyer / Beaubien","Rosemont - La Petite-Patrie",10,2,172,36,44,80,9.4,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,5,61,3,19,22,24.5,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",5,2,56,14,13,27,14.5,0
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",9,6,16,0,2,2,16.4,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,3,30,2,13,15,19.2,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",8,7,7,0,0,0,23.5,0
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",6,4,2,0,1,1,27.2,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",5,3,32,13,11,24,23.8,0
"Gilford / Papineau","Le Plateau-Mont-Royal",7,1,77,19,16,35,20.4,0
"Hamel / Sauriol","Ahuntsic-Cartierville",6,3,37,10,8,18,24.7,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",9,1,227,39,73,112,22.4,0
"de Côme / Jean-Talon","Saint-Léonard",5,2,12,1,4,5,21.8,0
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",8,4,70,13,22,35,16.9,0
"Chambord / Beaubien","Rosemont - La Petite-Patrie",5,5,116,7,27,34,17.4,0
"Parc Chenier (de l'Aréna / Chenier)","Anjou",10,6,4,0,0,0,12.5,0
"Graham / Brookfield","Mont-Royal",6,7,17,1,3,4,21.8,1
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",9,3,41,10,12,22,14.5,1
"Alexandre-DeSève / Ontario","Ville-Marie",8,7,111,6,15,21,21.5,0
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",9,7,18,4,3,7,10.5,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",10,3,114,19,19,38,15.7,0
"Parc Bariteau (Saint-Georges)","Longueuil",7,1,5,0,1,1,26.2,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",7,6,107,8,15,23,22.7,0
