"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",9,6,20,3,2,5,16.4,0
"Tupper / du Fort","Ville-Marie",9,2,80,7,24,31,13.7,0
"Henri-Julien / de Castelnau","Villeray—Saint-Michel—Parc-Extension",6,5,112,16,24,40,15.7,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",6,5,65,6,16,22,15.7,0
"Jean-Paul-Vincent / Adoncour","Longueuil",6,4,2,1,1,2,15,0
"Atwater / Sherbrooke","Ville-Marie",9,4,56,8,23,31,20.7,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",9,6,9,0,4,4,16.4,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",8,5,64,8,14,22,27.4,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",5,6,173,7,40,47,14.5,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",8,6,2,0,0,0,20,0
"Melville / de Maisonneuve","Westmount",5,1,74,12,10,22,21.8,1
"St-Dominique / Bernard","Le Plateau-Mont-Royal",8,1,41,7,15,22,18.4,0
"Mackay / Ste-Catherine","Ville-Marie",8,2,98,14,33,47,15.5,0
"de la Sorbonne / du Rousillon","Laval",10,7,2,1,1,2,14,0
"St-Germain / Hochelaga","Mercier - Hochelaga-Maisonneuve",6,3,39,8,13,21,22.3,1
"Bélanger / des Galeries d'Anjou","Anjou",9,6,28,1,17,18,19.5,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",10,3,59,14,16,30,9.7,0
"Bélanger / des Galeries d'Anjou","Anjou",5,4,21,3,8,11,21.7,0
"St-Jacques / St-Laurent","Ville-Marie",7,1,51,1,16,17,20.9,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",9,7,140,10,32,42,10.5,0
"de Bullion / St-Joseph","Le Plateau-Mont-Royal",8,4,97,26,20,46,26.8,0
"Brébeuf / Curé-Poirier","Longueuil",10,5,8,1,4,5,17.1,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",7,1,54,13,16,29,25.3,0
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",10,3,23,7,6,13,6.7,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",8,1,117,22,23,45,17.4,1
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",10,5,65,13,18,31,5.7,0
"St-Dominique / du Mont-Royal","Le Plateau-Mont-Royal",9,2,170,42,44,86,17.9,0
"de Grenoble / de Cassis","Laval",9,4,4,0,1,1,21.6,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",10,6,43,2,8,10,7.2,0
"Parc Bariteau (Saint-Georges)","Longueuil",7,6,4,0,1,1,23.1,0
"Gilford / Papineau","Le Plateau-Mont-Royal",10,4,89,17,31,48,21.4,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",6,3,69,20,21,41,16.7,0
"Laval / du Mont-Royal","Le Plateau-Mont-Royal",7,5,131,18,36,54,25.3,0
"Chambord / Beaubien","Rosemont - La Petite-Patrie",6,6,129,10,23,33,14.8,0
"St-Laurent / Joliette","Longueuil",6,7,13,1,3,4,16.3,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",6,6,12,2,0,2,18.5,0
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",8,1,126,13,40,53,21.8,0
"Souligny / Desmarteau","Mercier - Hochelaga-Maisonneuve",7,3,13,3,1,4,22.9,1
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",5,1,32,5,12,17,16.4,0
"Boyer / du Mont-Royal","Le Plateau-Mont-Royal",6,5,346,28,88,116,21.5,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",9,4,182,31,49,80,20.1,0
"de Grenoble / de Cassis","Laval",7,4,1,0,0,0,20.7,0
"de Côme / Jean-Talon","Saint-Léonard",8,4,22,1,9,10,16.8,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,3,17,2,9,11,18.1,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",9,2,13,0,5,5,15.7,0
"Boyer / Everett","Villeray—Saint-Michel—Parc-Extension",5,5,62,3,27,30,12.4,0
